,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1. FC Nürnberg,28,37,45,61,-24,51,-22,19,35,41,20,5,37,6,14,14,30,18,21,35,10,40,10,16,24,38,52,41,41,28,29
1. FSV Mainz 05,43,29,61,30,48,30,58,-8,21,45,48,28,63,45,13,42,43,42,51,12,12,14,65,30,30,-8,24,77,32,67,40
1899 Hoffenheim,3,59,33,41,59,49,33,67,90,58,60,42,35,46,56,48,54,24,57,37,35,84,33,29,48,43,59,84,75,58,17
Bayer 04 Leverkusen,30,19,-9,68,50,32,36,59,88,35,16,60,40,61,29,30,63,48,79,55,82,61,30,65,58,29,23,19,47,72,67
Borussia Dortmund,53,40,51,29,114,64,55,76,38,43,49,54,70,37,52,29,48,50,97,47,54,58,48,35,47,44,64,-12,60,75,10
Borussia M'gladbach,61,37,55,12,60,33,56,90,27,59,59,82,26,69,30,59,26,53,61,68,18,38,12,13,51,41,22,52,55,27,24
Eintracht Frankfurt,67,7,13,26,25,63,35,79,35,46,59,64,35,38,71,46,6,51,42,37,34,41,70,66,71,63,61,46,6,42,36
FC Augsburg,42,43,25,43,43,68,29,38,27,37,45,45,32,28,33,45,27,26,14,57,8,25,0,40,38,70,18,12,55,105,9
FC Bayern München,61,78,65,67,43,32,14,43,60,48,20,53,52,76,91,41,65,79,69,30,57,55,54,69,112,95,53,99,82,67,42
FC Schalke 04,21,8,35,20,38,54,55,22,30,61,2,72,33,19,44,31,59,47,44,-2,7,26,18,10,30,36,46,13,51,14,31
Fortuna Düsseldorf,47,47,43,48,25,18,14,-11,0,20,78,29,38,19,76,35,56,52,2,33,60,12,53,62,8,24,52,40,-1,9,84
Hannover 96,45,36,28,10,45,8,51,26,31,21,35,7,12,34,4,45,36,38,0,2,66,6,14,-9,7,13,34,19,36,48,53
Hertha BSC,47,50,31,68,13,55,38,36,46,24,8,42,68,52,25,35,31,67,35,34,66,45,28,49,33,21,2,28,26,38,35
RB Leipzig,23,55,59,23,60,40,87,36,40,75,67,32,62,14,66,22,56,40,77,73,38,44,41,47,54,45,87,43,63,48,56
SC Freiburg,26,27,30,51,35,-2,36,33,45,41,38,65,8,64,24,35,53,33,32,49,34,39,78,18,39,40,37,10,41,12,26
SV Werder Bremen,49,44,30,55,57,21,63,64,22,43,32,45,14,60,39,39,28,63,41,35,73,29,40,29,56,49,55,30,51,25,9
VfB Stuttgart,32,20,49,50,22,49,27,2,-14,20,55,30,49,11,54,20,17,54,-7,44,16,7,34,79,25,52,10,45,28,6,57
VfL Wolfsburg,48,49,45,52,40,35,20,29,55,30,43,45,39,35,62,65,56,32,28,49,44,78,70,45,-10,56,6,67,24,37,81
