,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1. FC Heidenheim,34,45,52,38,30,60,29,56,37,68,41,59,40,18,44,64,35,41,24,47,46,33,34,46,23,55,43,22,54,76,26
1. FC Köln,42,46,57,61,28,53,60,59,42,31,63,28,101,59,73,59,74,31,30,50,60,13,64,33,74,65,85,59,40,22,55
1. FC Magdeburg,25,40,26,18,42,42,36,41,39,19,28,-6,42,26,34,29,8,11,35,46,36,43,32,26,8,32,44,41,32,34,40
1. FC Union Berlin,50,35,58,44,31,36,47,35,40,38,52,28,74,32,42,38,57,24,56,23,59,49,31,57,47,36,39,46,40,31,62
Arminia Bielefeld,52,51,22,61,50,25,57,20,36,35,24,40,35,16,36,33,56,34,54,53,77,1,47,63,7,47,30,40,43,33,34
Erzgebirge Aue,30,32,10,26,52,39,26,32,54,35,54,33,16,25,47,66,30,61,36,22,12,50,56,56,58,-2,21,27,24,39,41
FC Ingolstadt 04,42,59,28,39,-33,21,24,23,34,-6,45,46,40,8,27,22,29,32,43,34,63,46,43,21,9,16,41,64,35,46,50
FC St. Pauli,21,58,11,19,23,42,55,40,48,47,44,45,41,43,40,76,59,61,12,43,23,30,23,38,-8,-4,42,29,38,-1,44
Hamburger SV,18,55,66,49,61,-8,46,38,36,38,51,67,49,38,47,58,50,20,52,2,54,45,6,56,71,31,44,30,33,33,20
Holstein Kiel,71,23,42,45,13,25,32,50,13,30,41,30,40,38,80,66,33,65,36,56,47,27,57,34,24,73,-2,33,44,34,32
MSV Duisburg,28,34,8,38,35,37,34,40,32,32,30,61,34,52,10,7,16,22,35,51,30,11,26,47,35,41,42,20,2,38,32
SC Paderborn 07,18,62,30,44,61,27,39,65,54,42,44,16,37,73,26,22,75,68,22,78,49,50,35,36,18,74,53,43,84,51,53
SG Dynamo Dresden,49,34,30,24,47,57,43,30,35,43,19,45,-22,60,27,22,16,46,7,32,22,38,14,50,30,39,67,46,24,64,28
SSV Jahn Regensburg,26,24,52,24,22,88,38,56,45,37,33,36,45,48,35,19,26,44,60,26,16,42,42,46,35,21,54,51,46,61,31
SV Darmstadt 98,51,18,73,67,42,8,21,19,29,45,59,33,24,14,13,25,47,5,55,33,27,17,54,20,50,42,51,23,48,50,54
SV Sandhausen 1916,25,8,40,36,43,14,58,24,25,71,47,19,40,45,22,27,43,34,21,59,12,25,1,22,47,72,32,50,48,46,52
SpVgg Greuther Fürth,50,31,36,53,63,24,30,43,36,51,12,48,18,55,10,14,20,36,8,-6,43,40,40,27,42,75,36,32,32,33,22
VfL Bochum,30,43,54,25,92,45,28,31,50,46,46,37,60,42,34,19,30,40,54,16,21,22,21,24,50,11,28,23,55,28,22
