,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1. FC Nürnberg,"[1, '1', '0', 0]","[0, '1', '1', 1]","[1, '1', '1', 1]","[0, '2', '0', 3]","[1, '7', '0', 0]","[0, '3', '0', 3]","[1, '6', '0', 0]","[0, '1', '3', 0]","[0, '1', '1', 1]","[1, '2', '2', 1]","[0, '0', '2', 0]","[1, '5', '2', 0]","[0, '1', '1', 1]","[1, '3', '0', 0]","[0, '0', '2', 0]","[1, '2', '0', 0]","[0, '0', '1', 0]","[0, '1', '3', 0]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '2', '0', 0]","[0, '0', '0', 1]","[1, '2', '1', 0]","[0, '0', '1', 0]","[1, '2', '1', 0]","[1, '1', '0', 0]","[0, '3', '0', 3]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '2', '0', 0]","[0, '1', '1', 1]"
1. FSV Mainz 05,"[0, '1', '0', 3]","[1, '1', '1', 1]","[0, '2', '1', 3]","[1, '1', '0', 0]","[0, '0', '0', 1]","[1, '1', '0', 0]","[0, '0', '0', 1]","[1, '4', '0', 0]","[0, '1', '2', 0]","[0, '2', '1', 3]","[1, '1', '3', 3]","[0, '1', '2', 0]","[1, '0', '1', 3]","[0, '1', '1', 1]","[1, '4', '1', 0]","[0, '2', '2', 1]","[1, '1', '1', 1]","[1, '2', '3', 3]","[0, '2', '1', 3]","[1, '3', '0', 0]","[0, '1', '5', 0]","[1, '3', '0', 0]","[0, '3', '0', 3]","[1, '2', '1', 0]","[0, '0', '1', 0]","[1, '6', '0', 0]","[1, '3', '1', 0]","[0, '5', '0', 3]","[1, '2', '1', 0]","[0, '3', '1', 3]","[1, '1', '0', 0]"
1899 Hoffenheim,"[1, '3', '1', 0]","[0, '3', '1', 3]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '1', '3', 3]","[0, '1', '2', 0]","[0, '1', '2', 0]","[1, '1', '3', 3]","[0, '4', '0', 3]","[1, '1', '4', 3]","[0, '2', '1', 3]","[1, '3', '3', 1]","[0, '1', '1', 1]","[1, '2', '2', 1]","[0, '0', '0', 1]","[1, '1', '1', 1]","[0, '1', '1', 1]","[0, '1', '3', 0]","[1, '2', '4', 3]","[0, '1', '1', 1]","[1, '3', '3', 1]","[0, '3', '0', 3]","[1, '1', '1', 1]","[1, '3', '2', 0]","[0, '2', '1', 3]","[1, '1', '1', 1]","[0, '4', '1', 3]","[1, '0', '4', 3]","[0, '2', '0', 3]","[1, '2', '5', 3]","[0, '1', '4', 0]"
Bayer 04 Leverkusen,"[1, '2', '0', 0]","[0, '1', '3', 0]","[1, '3', '1', 0]","[0, '1', '0', 3]","[1, '1', '2', 3]","[0, '2', '4', 0]","[1, '0', '0', 1]","[0, '2', '2', 1]","[1, '2', '6', 3]","[0, '1', '4', 0]","[1, '3', '0', 0]","[0, '2', '0', 3]","[1, '1', '1', 1]","[0, '1', '0', 3]","[1, '2', '1', 0]","[1, '1', '2', 3]","[0, '3', '1', 3]","[0, '0', '1', 0]","[1, '0', '3', 3]","[0, '3', '1', 3]","[1, '1', '5', 3]","[0, '2', '0', 3]","[1, '3', '2', 0]","[0, '2', '0', 3]","[1, '2', '3', 3]","[0, '1', '3', 0]","[1, '4', '1', 0]","[0, '2', '4', 0]","[1, '0', '1', 3]","[0, '2', '0', 3]","[1, '1', '4', 3]"
Borussia Dortmund,"[0, '4', '1', 3]","[1, '0', '0', 1]","[0, '3', '1', 3]","[1, '1', '1', 1]","[0, '7', '0', 3]","[1, '2', '4', 3]","[0, '4', '3', 3]","[1, '0', '4', 3]","[0, '2', '2', 1]","[1, '0', '1', 3]","[0, '3', '2', 3]","[1, '1', '2', 3]","[0, '2', '0', 3]","[1, '1', '2', 3]","[0, '2', '1', 3]","[1, '2', '1', 0]","[0, '2', '1', 3]","[1, '0', '1', 3]","[0, '5', '1', 3]","[1, '1', '1', 1]","[0, '3', '3', 1]","[1, '0', '0', 1]","[0, '3', '2', 3]","[1, '2', '1', 0]","[0, '3', '1', 3]","[1, '2', '3', 3]","[0, '2', '0', 3]","[1, '5', '0', 0]","[0, '2', '1', 3]","[1, '0', '4', 3]","[0, '2', '4', 0]"
Borussia M'gladbach,"[0, '2', '0', 3]","[1, '1', '1', 1]","[0, '2', '1', 3]","[1, '4', '2', 0]","[0, '3', '1', 3]","[1, '2', '2', 1]","[1, '0', '3', 3]","[0, '4', '0', 3]","[1, '3', '1', 0]","[0, '3', '0', 3]","[1, '1', '3', 3]","[0, '4', '1', 3]","[1, '2', '0', 0]","[0, '3', '0', 3]","[1, '0', '0', 1]","[0, '2', '0', 3]","[1, '2', '1', 0]","[1, '0', '1', 3]","[0, '2', '0', 3]","[1, '0', '2', 3]","[0, '0', '3', 0]","[1, '1', '1', 1]","[0, '0', '3', 0]","[0, '1', '5', 0]","[1, '0', '1', 3]","[0, '1', '1', 1]","[1, '3', '1', 0]","[0, '1', '1', 1]","[1, '0', '1', 3]","[0, '1', '2', 0]","[1, '1', '0', 0]"
Eintracht Frankfurt,"[1, '0', '2', 3]","[0, '1', '2', 0]","[1, '3', '1', 0]","[0, '1', '1', 1]","[1, '3', '1', 0]","[0, '4', '1', 3]","[1, '1', '2', 3]","[0, '7', '1', 3]","[1, '1', '1', 1]","[1, '0', '3', 3]","[0, '3', '0', 3]","[1, '1', '3', 3]","[0, '1', '2', 0]","[1, '1', '0', 0]","[0, '2', '1', 3]","[1, '2', '2', 1]","[0, '0', '3', 0]","[0, '3', '1', 3]","[1, '2', '2', 1]","[0, '1', '1', 1]","[1, '0', '0', 1]","[0, '1', '1', 1]","[1, '0', '3', 3]","[0, '3', '2', 3]","[1, '0', '3', 3]","[0, '1', '0', 3]","[0, '3', '0', 3]","[1, '1', '2', 3]","[0, '1', '3', 0]","[1, '1', '1', 1]","[0, '0', '0', 1]"
FC Augsburg,"[1, '1', '2', 3]","[0, '1', '1', 1]","[1, '2', '1', 0]","[0, '2', '3', 0]","[1, '1', '1', 1]","[0, '4', '1', 3]","[1, '4', '3', 0]","[0, '0', '0', 1]","[1, '1', '2', 3]","[0, '2', '2', 1]","[1, '2', '1', 0]","[0, '1', '3', 0]","[1, '1', '0', 0]","[1, '1', '0', 0]","[0, '1', '1', 1]","[1, '2', '2', 1]","[0, '2', '3', 0]","[0, '1', '2', 0]","[1, '2', '0', 0]","[0, '3', '0', 3]","[1, '4', '0', 0]","[0, '2', '3', 0]","[1, '5', '1', 0]","[0, '2', '1', 3]","[1, '0', '0', 1]","[0, '3', '1', 3]","[1, '3', '0', 0]","[0, '0', '4', 0]","[1, '1', '3', 3]","[0, '6', '0', 3]","[0, '1', '4', 0]"
FC Bayern München,"[0, '3', '1', 3]","[1, '0', '3', 3]","[0, '3', '1', 3]","[1, '0', '2', 3]","[0, '1', '1', 1]","[1, '2', '0', 0]","[0, '0', '3', 0]","[1, '1', '3', 3]","[1, '1', '2', 3]","[0, '1', '1', 1]","[1, '3', '2', 0]","[0, '3', '3', 1]","[1, '1', '2', 3]","[0, '3', '0', 3]","[1, '0', '4', 3]","[0, '1', '0', 3]","[1, '0', '3', 3]","[1, '1', '3', 3]","[0, '4', '1', 3]","[1, '3', '1', 0]","[0, '3', '1', 3]","[1, '2', '3', 3]","[0, '1', '0', 3]","[1, '1', '5', 3]","[0, '6', '0', 3]","[0, '6', '0', 3]","[1, '1', '1', 1]","[0, '5', '0', 3]","[1, '1', '4', 3]","[0, '1', '0', 3]","[1, '1', '1', 1]"
FC Schalke 04,"[1, '2', '1', 0]","[0, '0', '2', 0]","[1, '2', '1', 0]","[0, '0', '2', 0]","[1, '1', '0', 0]","[0, '1', '0', 3]","[1, '0', '2', 3]","[0, '0', '2', 0]","[1, '0', '0', 1]","[0, '3', '1', 3]","[1, '3', '0', 0]","[0, '5', '2', 3]","[1, '1', '1', 1]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '1', '2', 0]","[1, '1', '3', 3]","[0, '2', '1', 3]","[1, '2', '2', 1]","[0, '0', '2', 0]","[1, '3', '1', 0]","[0, '0', '0', 1]","[1, '3', '0', 0]","[0, '0', '4', 0]","[1, '4', '2', 0]","[0, '0', '1', 0]","[1, '0', '1', 3]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '2', '5', 0]","[1, '2', '4', 3]"
Fortuna Düsseldorf,"[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '2', '1', 3]","[1, '0', '0', 1]","[0, '1', '2', 0]","[1, '3', '0', 0]","[0, '0', '2', 0]","[1, '7', '1', 0]","[0, '0', '3', 0]","[1, '3', '0', 0]","[0, '4', '1', 3]","[1, '3', '3', 1]","[0, '0', '1', 0]","[1, '3', '1', 0]","[0, '2', '0', 3]","[0, '2', '1', 3]","[1, '0', '1', 3]","[1, '1', '2', 3]","[0, '0', '4', 0]","[1, '1', '1', 1]","[0, '3', '0', 3]","[1, '2', '0', 0]","[0, '2', '1', 3]","[1, '0', '4', 3]","[0, '0', '3', 0]","[1, '5', '2', 0]","[0, '3', '1', 3]","[1, '1', '2', 3]","[0, '1', '4', 0]","[1, '3', '1', 0]","[0, '4', '1', 3]"
Hannover 96,"[1, '1', '1', 1]","[0, '0', '0', 1]","[1, '3', '2', 0]","[1, '2', '0', 0]","[0, '1', '3', 0]","[1, '4', '1', 0]","[0, '3', '1', 3]","[1, '2', '2', 1]","[0, '1', '2', 0]","[1, '3', '1', 0]","[0, '2', '1', 3]","[1, '4', '1', 0]","[0, '0', '2', 0]","[1, '1', '1', 1]","[0, '0', '4', 0]","[1, '1', '1', 1]","[0, '0', '1', 0]","[0, '0', '1', 0]","[1, '5', '1', 0]","[0, '0', '3', 0]","[0, '2', '0', 3]","[1, '3', '0', 0]","[0, '0', '3', 0]","[1, '5', '1', 0]","[0, '2', '3', 0]","[1, '3', '1', 0]","[0, '0', '1', 0]","[1, '3', '1', 0]","[0, '0', '1', 0]","[1, '0', '0', 1]","[0, '1', '0', 3]"
Hertha BSC,"[0, '1', '0', 3]","[1, '0', '2', 3]","[1, '2', '2', 1]","[0, '4', '2', 3]","[1, '3', '1', 0]","[0, '2', '0', 3]","[1, '0', '0', 1]","[0, '1', '1', 1]","[1, '2', '2', 1]","[0, '0', '3', 0]","[1, '4', '1', 0]","[0, '3', '3', 1]","[1, '0', '2', 3]","[0, '1', '0', 3]","[1, '2', '1', 0]","[0, '2', '2', 1]","[1, '3', '1', 0]","[1, '1', '3', 3]","[0, '2', '2', 1]","[0, '0', '1', 0]","[1, '0', '3', 3]","[0, '1', '1', 1]","[1, '1', '0', 0]","[0, '2', '1', 3]","[1, '2', '1', 0]","[0, '2', '3', 0]","[1, '5', '0', 0]","[0, '1', '2', 0]","[1, '2', '0', 0]","[0, '0', '0', 1]","[1, '0', '0', 1]"
RB Leipzig,"[1, '4', '1', 0]","[0, '1', '1', 1]","[0, '3', '2', 3]","[1, '1', '1', 1]","[0, '2', '0', 3]","[1, '1', '2', 3]","[0, '6', '0', 3]","[1, '0', '0', 1]","[0, '0', '0', 1]","[1, '0', '3', 3]","[0, '3', '0', 3]","[1, '1', '0', 0]","[0, '2', '0', 3]","[1, '3', '0', 0]","[0, '4', '1', 3]","[1, '1', '0', 0]","[0, '3', '2', 3]","[0, '0', '1', 0]","[1, '0', '4', 3]","[1, '0', '3', 3]","[0, '0', '0', 1]","[1, '1', '3', 3]","[0, '1', '1', 1]","[1, '0', '1', 3]","[0, '0', '0', 1]","[1, '0', '1', 3]","[0, '5', '0', 3]","[1, '2', '4', 3]","[0, '2', '0', 3]","[1, '1', '2', 3]","[0, '2', '1', 3]"
SC Freiburg,"[0, '0', '2', 0]","[1, '3', '1', 0]","[0, '3', '3', 1]","[1, '1', '3', 3]","[0, '1', '0', 3]","[1, '4', '1', 0]","[0, '0', '0', 1]","[1, '1', '1', 1]","[0, '3', '1', 3]","[1, '1', '1', 1]","[0, '1', '3', 0]","[0, '1', '1', 1]","[1, '2', '0', 0]","[0, '3', '0', 3]","[1, '2', '0', 0]","[0, '1', '1', 1]","[1, '0', '1', 3]","[1, '3', '1', 0]","[0, '2', '4', 0]","[1, '2', '2', 1]","[0, '3', '3', 1]","[1, '0', '0', 1]","[0, '5', '1', 3]","[1, '2', '0', 0]","[0, '2', '1', 3]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '5', '0', 0]","[1, '2', '1', 0]","[0, '0', '4', 0]","[1, '2', '1', 0]"
SV Werder Bremen,"[0, '1', '1', 1]","[1, '1', '2', 3]","[0, '1', '1', 1]","[1, '2', '3', 3]","[0, '3', '1', 3]","[1, '2', '1', 0]","[0, '2', '0', 3]","[1, '0', '2', 3]","[0, '2', '6', 0]","[1, '2', '1', 0]","[0, '1', '3', 0]","[1, '1', '1', 1]","[0, '1', '2', 0]","[0, '3', '1', 3]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '3', '2', 0]","[1, '0', '1', 3]","[0, '2', '2', 1]","[1, '1', '1', 1]","[0, '4', '0', 3]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '1', '1', 1]","[0, '4', '2', 3]","[1, '1', '3', 3]","[0, '3', '1', 3]","[1, '1', '1', 1]","[0, '2', '1', 3]","[1, '1', '0', 0]","[1, '4', '1', 0]"
VfB Stuttgart,"[1, '1', '0', 0]","[0, '0', '3', 0]","[1, '3', '3', 1]","[0, '0', '0', 1]","[1, '2', '0', 0]","[0, '2', '1', 3]","[1, '3', '1', 0]","[0, '0', '4', 0]","[1, '4', '0', 0]","[0, '0', '3', 0]","[1, '0', '2', 3]","[1, '2', '0', 0]","[0, '1', '0', 3]","[1, '3', '0', 0]","[0, '2', '1', 3]","[1, '2', '0', 0]","[0, '1', '3', 0]","[0, '2', '3', 0]","[1, '4', '1', 0]","[0, '2', '2', 1]","[1, '3', '0', 0]","[0, '1', '3', 0]","[1, '1', '1', 1]","[0, '5', '1', 3]","[1, '3', '1', 0]","[0, '1', '1', 1]","[1, '3', '0', 0]","[0, '1', '1', 1]","[0, '0', '1', 0]","[1, '6', '0', 0]","[0, '1', '0', 3]"
VfL Wolfsburg,"[0, '2', '1', 3]","[1, '1', '3', 3]","[0, '2', '2', 1]","[0, '1', '3', 0]","[1, '0', '0', 1]","[0, '2', '2', 1]","[1, '2', '0', 0]","[0, '1', '3', 0]","[1, '0', '3', 3]","[0, '0', '1', 0]","[1, '2', '1', 0]","[0, '1', '0', 3]","[1, '1', '2', 3]","[0, '2', '2', 1]","[1, '0', '2', 3]","[0, '2', '0', 3]","[1, '2', '3', 3]","[1, '2', '1', 0]","[0, '0', '3', 0]","[1, '0', '1', 3]","[1, '3', '3', 1]","[0, '3', '0', 3]","[1, '0', '3', 3]","[0, '1', '1', 1]","[1, '6', '0', 0]","[0, '5', '2', 3]","[1, '2', '0', 0]","[0, '3', '1', 3]","[1, '2', '0', 0]","[0, '1', '1', 1]","[1, '1', '4', 3]"
