,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1. FC Heidenheim,"[0, '1', '1', 1]","[1, '1', '1', 1]","[1, '1', '3', 3]","[0, '0', '1', 0]","[1, '3', '2', 0]","[0, '2', '0', 3]","[1, '2', '1', 0]","[0, '3', '2', 3]","[1, '1', '1', 1]","[0, '3', '0', 3]","[1, '1', '1', 1]","[0, '1', '0', 3]","[1, '1', '1', 1]","[0, '1', '5', 0]","[1, '1', '2', 3]","[0, '4', '1', 3]","[1, '1', '1', 1]","[1, '1', '2', 3]","[0, '2', '2', 1]","[0, '1', '0', 3]","[1, '1', '2', 3]","[0, '2', '2', 1]","[1, '0', '0', 1]","[0, '1', '2', 0]","[1, '1', '0', 0]","[0, '2', '1', 3]","[1, '0', '0', 1]","[0, '0', '2', 0]","[1, '0', '1', 3]","[0, '3', '0', 3]","[1, '3', '1', 0]"
1. FC Köln,"[1, '0', '2', 3]","[0, '1', '1', 1]","[0, '3', '1', 3]","[1, '3', '5', 3]","[0, '3', '5', 0]","[1, '0', '2', 3]","[0, '2', '1', 3]","[1, '1', '3', 3]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '1', '0', 0]","[0, '8', '1', 3]","[1, '0', '3', 3]","[0, '4', '0', 3]","[1, '1', '3', 3]","[0, '3', '0', 3]","[0, '2', '3', 0]","[1, '2', '0', 0]","[1, '0', '1', 3]","[0, '4', '1', 3]","[1, '3', '2', 0]","[0, '3', '1', 3]","[1, '1', '2', 3]","[0, '5', '1', 3]","[1, '-', '-', 1]","[0, '4', '0', 3]","[1, '0', '2', 3]","[0, '1', '1', 1]","[1, '3', '0', 0]","[0, '1', '2', 0]"
1. FC Magdeburg,"[0, '1', '2', 0]","[1, '0', '0', 1]","[0, '1', '1', 1]","[1, '2', '1', 0]","[0, '0', '0', 1]","[1, '4', '4', 1]","[0, '3', '3', 1]","[1, '0', '1', 3]","[0, '2', '2', 1]","[1, '3', '0', 0]","[0, '0', '1', 0]","[1, '3', '1', 0]","[0, '2', '3', 0]","[1, '3', '2', 0]","[0, '0', '0', 1]","[0, '1', '1', 1]","[1, '3', '0', 0]","[1, '4', '1', 0]","[0, '1', '0', 3]","[1, '0', '1', 3]","[0, '1', '1', 1]","[1, '1', '3', 3]","[0, '1', '1', 1]","[1, '1', '0', 0]","[0, '0', '1', 0]","[1, '1', '1', 1]","[0, '0', '0', 1]","[1, '1', '2', 3]","[0, '0', '1', 0]","[1, '1', '0', 0]","[0, '2', '1', 3]"
1. FC Union Berlin,"[0, '1', '0', 3]","[1, '1', '1', 1]","[0, '4', '1', 3]","[1, '0', '0', 1]","[0, '2', '2', 1]","[1, '1', '1', 1]","[0, '2', '0', 3]","[1, '1', '2', 3]","[0, '1', '1', 1]","[1, '0', '0', 1]","[0, '0', '0', 1]","[1, '1', '1', 1]","[0, '4', '0', 3]","[1, '2', '2', 1]","[0, '3', '1', 3]","[1, '1', '1', 1]","[0, '2', '0', 3]","[1, '3', '0', 0]","[0, '2', '0', 3]","[1, '3', '2', 0]","[0, '2', '0', 3]","[1, '2', '3', 3]","[0, '1', '1', 1]","[1, '0', '2', 3]","[0, '2', '0', 3]","[1, '2', '1', 0]","[0, '1', '3', 0]","[1, '0', '0', 1]","[0, '2', '2', 1]","[1, '1', '1', 1]","[0, '2', '0', 3]"
Arminia Bielefeld,"[1, '1', '1', 1]","[0, '2', '1', 3]","[1, '3', '0', 0]","[0, '5', '3', 3]","[1, '0', '0', 1]","[0, '1', '1', 1]","[1, '1', '2', 3]","[0, '1', '3', 0]","[1, '1', '0', 0]","[0, '2', '3', 0]","[1, '1', '0', 0]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '0', '1', 0]","[1, '2', '2', 1]","[0, '1', '1', 1]","[1, '1', '2', 3]","[0, '1', '2', 0]","[1, '3', '4', 3]","[0, '2', '0', 3]","[1, '0', '3', 3]","[0, '1', '3', 0]","[1, '1', '1', 1]","[0, '1', '0', 3]","[1, '5', '1', 0]","[0, '3', '1', 3]","[1, '2', '2', 1]","[0, '2', '1', 3]","[1, '1', '1', 1]","[0, '1', '3', 0]","[1, '2', '2', 1]"
Erzgebirge Aue,"[1, '1', '0', 0]","[0, '0', '0', 1]","[1, '3', '1', 0]","[1, '3', '2', 0]","[0, '3', '1', 3]","[1, '1', '2', 3]","[0, '0', '2', 0]","[1, '1', '0', 0]","[0, '2', '1', 3]","[1, '1', '1', 1]","[0, '1', '0', 3]","[1, '1', '0', 0]","[0, '1', '3', 0]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '0', '5', 3]","[0, '2', '2', 1]","[0, '3', '0', 3]","[1, '1', '0', 0]","[0, '0', '1', 0]","[0, '0', '3', 0]","[1, '1', '2', 3]","[0, '0', '0', 1]","[1, '0', '3', 3]","[0, '2', '1', 3]","[1, '5', '1', 0]","[0, '1', '3', 0]","[1, '2', '1', 0]","[0, '0', '1', 0]","[1, '1', '1', 1]","[0, '3', '2', 3]"
FC Ingolstadt 04,"[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '1', '1', 1]","[0, '3', '2', 3]","[1, '6', '0', 0]","[0, '0', '1', 0]","[1, '2', '1', 0]","[0, '1', '2', 0]","[0, '1', '2', 0]","[1, '4', '0', 0]","[0, '1', '1', 1]","[1, '2', '2', 1]","[0, '1', '1', 1]","[1, '2', '0', 0]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '1', '1', 1]","[0, '1', '2', 0]","[1, '0', '1', 3]","[0, '0', '1', 0]","[1, '0', '3', 3]","[0, '2', '1', 3]","[1, '1', '0', 0]","[0, '1', '2', 0]","[1, '2', '0', 0]","[1, '3', '1', 0]","[0, '1', '2', 0]","[1, '2', '4', 3]","[0, '1', '1', 1]","[1, '1', '3', 3]","[0, '1', '0', 3]"
FC St. Pauli,"[1, '1', '2', 3]","[0, '2', '0', 3]","[1, '4', '1', 0]","[0, '3', '5', 0]","[1, '3', '1', 0]","[1, '0', '1', 3]","[0, '2', '1', 3]","[1, '0', '0', 1]","[0, '3', '1', 3]","[1, '0', '1', 3]","[0, '0', '1', 0]","[1, '1', '2', 3]","[0, '1', '1', 1]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '1', '3', 3]","[0, '2', '0', 3]","[0, '4', '1', 3]","[1, '2', '1', 0]","[0, '3', '2', 3]","[1, '4', '1', 0]","[0, '1', '2', 0]","[0, '1', '0', 3]","[1, '0', '1', 3]","[0, '0', '4', 0]","[1, '4', '0', 0]","[0, '0', '0', 1]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '3', '0', 0]","[0, '4', '3', 3]"
Hamburger SV,"[0, '0', '3', 0]","[1, '0', '3', 3]","[0, '3', '0', 3]","[1, '0', '1', 3]","[0, '3', '2', 3]","[0, '0', '5', 0]","[1, '0', '0', 1]","[0, '0', '0', 1]","[1, '1', '2', 3]","[0, '0', '0', 1]","[1, '0', '1', 3]","[0, '1', '0', 3]","[1, '1', '3', 3]","[0, '2', '2', 1]","[1, '1', '2', 3]","[0, '1', '0', 3]","[1, '1', '2', 3]","[1, '3', '1', 0]","[0, '2', '1', 3]","[1, '2', '0', 0]","[0, '1', '0', 3]","[1, '2', '2', 1]","[1, '2', '1', 0]","[0, '1', '0', 3]","[1, '0', '4', 3]","[0, '2', '3', 0]","[1, '0', '0', 1]","[0, '1', '2', 0]","[1, '1', '1', 1]","[0, '1', '1', 1]","[1, '2', '0', 0]"
Holstein Kiel,"[1, '0', '3', 3]","[0, '1', '1', 1]","[1, '0', '0', 1]","[0, '2', '1', 3]","[1, '4', '1', 0]","[0, '2', '2', 1]","[1, '2', '0', 0]","[0, '4', '2', 3]","[1, '2', '1', 0]","[0, '1', '1', 1]","[1, '0', '1', 3]","[0, '2', '2', 1]","[1, '4', '4', 1]","[0, '2', '1', 3]","[1, '0', '4', 3]","[1, '0', '2', 3]","[0, '1', '2', 0]","[0, '3', '1', 3]","[1, '2', '2', 1]","[0, '2', '0', 3]","[1, '1', '1', 1]","[0, '2', '2', 1]","[1, '1', '3', 3]","[0, '0', '2', 0]","[1, '3', '2', 0]","[0, '5', '1', 3]","[1, '4', '0', 0]","[0, '2', '1', 3]","[1, '1', '1', 1]","[0, '1', '2', 0]","[1, '3', '2', 0]"
